Ad Technology Provider,Privacy URL
Google,https://www.google.com/policies/technologies/partner-sites/
" Branch Metrics, Inc.",https://legal.branch.io/discovery/discovery-privacy-policy/
: Tappx,https://www.tappx.com/en/privacy-policy/
[24]7.ai (successor to EngageClick),https://www.247.ai/privacy-policy#gdpr_compliance
014 ON,https://014on.com/politica-privacidad/
152 Media LLC,https://152media.com/privacy-policy/
1plusX,https://www.1plusx.com/privacy-policy/
2getSolutions,https://www.2getsolutions.com/policies
2KDirect Inc.,https://www.ipromote.com/privacy-policy/
33Across,https://www.33across.com/privacy-policy/
366 SAS,https://www.366.fr/politique-de-confidentialite-de-la-regie/
3Q GmbH,https://3q.video/en/help-center/datenschutzhinweise
42 Ads,https://www.42ads.io/42privacy.pdf
"6Sense Insights, Inc",https://6sense.com/privacy-policy
8pod,https://marketing.8pod.com/privacy-policy
9 Dots Media Ltd,https://www.9dotsmedia.com/privacy/
90Degree,https://90degr.ee/privacy/
A Million Ads Limited,https://www.amillionads.com/privacy-policy
A.Vogel AG,https://www.avogel-company.ch/de/unternehmen/datenschutz.php
A1 PerformanceFactory,https://www.perfact.co.kr/privacy
Aarki,http://corp.aarki.com/privacy
ABCS INSIGHTS,https://www.abcsinsights.com/privacy/ad-measurement
abilicom,https://contactimpact.de/datenschutz
ablida,https://www.ablida.de/nutzungsbedingungen
Accorp Sp. z o.o.,https://instytut-pollster.pl/privacy-policy/index.html#en
AccountInsight Ltd,https://www.accountinsight.ai/privacy-policy/
Accurat,https://www.accurat.ai/legal/privacy-centre
AccuWeather,https://www.accuweather.com/en/privacy
AceeX Sp.z.o.o.,https://aceex.io/legal/platform-privacy-policy
Acuityads,https://illumin.com/legalcenter/privacy/
Acxiom,https://www.acxiom.com/privacy/gdpr/
Ad Alliance GmbH,https://www.ad-alliance.de/datenschutz/
Ad Attack AG,https://www.adatk.ag/datenschutz
Ad Insertion platform Sarl,https://www.adinsertplatform.com/privacy.html
Ad Layer,https://www.adlayer.se/privacy-policy
Ad Lightning,http://boltive.com/legal/privacy-policy
Ad Optima Digital,https://adoptimadigital.com/privacy-policy
Ad Tech Company OÜ,https://floxis.tech/privacy
"Ad-Shield, Inc",https://www.ad-shield.io/privacy-policy
Ad2iction,https://ad2.ad2iction.com/privacy/
Ad360,https://www.ad360.media/privacy.html
Adacado,https://www.adacado.com/privacy-policy-april-25-2018/
Adara Media,https://adara.com/2018/04/10/adara-gdpr-faq/
Adasta Media S.r.l.,https://www.adasta.it/en/publisher-cookie-policy/
Adbalancer,https://www.adbalancer.com/hosting-datenschutzerklaerung/
adbility media GmbH,https://www.adbility-media.com/datenschutz
adbility online GmbH,https://www.adbility-online.com/privacy-policy
Adblade,https://www.adblade.com/doc/privacy
ADBOX,http://www.adboxdigital.uk/privacy
ADBRO (GISTER PRIVATE LIMITED),https://www.adbro.com/privacy/advertising-privacy-policy
AdButler,https://www.adbutler.com/company/gdpr-compliance.html
Adcash,https://adcash.com/legal/
ADCELL,https://www.adcell.de/agb#sector_6
Adchats LLC,https://www.genleads.com/privacy
Adcombi,https://adcombi.com/cookies_policy
AddApptr GmbH,https://www.gravite.net/data-privacy
AdDefend GmbH,https://www.addefend.com/en/privacy-policy/
Addroid,https://addroid.com/privacy.html
Adelaide Metrics Inc,https://adelaidemetrics.com/privacy
AdElement,http://adelement.com/privacy-policy.html
Adello,http://www.adello.com/privacy-policy
Aderize,https://aderserve.com/privacy_policy.html
ADEX,http://theadex.com
Adex (Virtual Minds GmbH),https://virtualminds.com/platform-privacy-policy/
AdFalcon,http://www.adfalcon.com/en/tech-policy.html
ADFIXUS PTY LTD,https://www.adfixus.com/platform-privacy-policy
